คู่เลข,ค่าพลัง,ระดับ,ความหมาย(เติมเอง)
00,-4,ระวัง,
01,-4,ระวัง,
02,-6,เสีย,
03,-2,ระวัง,
04,1,กลาง,
05,0,กลาง,
06,-6,เสีย,
07,-5,เสีย,
08,-3,ระวัง,
09,2,ดี,
10,-4,ระวัง,
11,-2,ระวัง,
12,-5,เสีย,
13,-5,เสีย,
14,4,ดีมาก,
15,4,ดีมาก,
16,2,ดี,
17,2,ดี,
18,-4,ระวัง,
19,4,ดีมาก,
20,-5,เสีย,
21,-5,เสีย,
22,3,ดี,
23,-4,ระวัง,
24,4,ดีมาก,
25,3,ดี,
26,4,ดีมาก,
27,-6,เสีย,
28,3,ดี,
29,3,ดี,
30,-2,ระวัง,
31,-5,เสีย,
32,-3,ระวัง,
33,-2,ระวัง,
34,-6,เสีย,
35,4,ดีมาก,
36,3,ดี,
37,-5,เสีย,
38,-1,กลาง,
39,2,ดี,
40,0,กลาง,
41,4,ดีมาก,
42,5,ดีมาก,
43,-6,เสีย,
44,4,ดีมาก,
45,4,ดีมาก,
46,5,ดีมาก,
47,2,ดี,
48,-5,เสีย,
49,3,ดี,
50,1,กลาง,
51,4,ดีมาก,
52,3,ดี,
53,4,ดีมาก,
54,4,ดีมาก,
55,4,ดีมาก,
56,4,ดีมาก,
57,-5,เสีย,
58,-5,เสีย,
59,4,ดีมาก,
60,-5,เสีย,
61,2,ดี,
62,4,ดีมาก,
63,3,ดี,
64,4,ดีมาก,
65,4,ดีมาก,
66,4,ดีมาก,
67,-6,เสีย,
68,-5,เสีย,
69,3,ดี,
70,-6,เสีย,
71,2,ดี,
72,-5,เสีย,
73,-5,เสีย,
74,3,ดี,
75,-6,เสีย,
76,-5,เสีย,
77,-2,ระวัง,
78,4,ดีมาก,
79,3,ดี,
80,-3,ระวัง,
81,-4,ระวัง,
82,3,ดี,
83,-1,กลาง,
84,-6,เสีย,
85,-5,เสีย,
86,-5,เสีย,
87,4,ดีมาก,
88,2,ดี,
89,4,ดีมาก,
90,2,ดี,
91,4,ดีมาก,
92,3,ดี,
93,3,ดี,
94,3,ดี,
95,5,ดีมาก,
96,4,ดีมาก,
97,3,ดี,
98,5,ดีมาก,
99,5,ดีมาก,
